"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_112: Test post /V7/UTIntegration/TaxFileMergedStatus","1306","TC_112: POST /V7/UTIntegration/TaxFileMergedStatus","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_060: Test post /V5.0/Lookup/OfficeLocations","1088","TC_060: POST /V5.0/Lookup/OfficeLocations","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_061: Test post /V5.0/Lookup/BinderTypes","1100","TC_061: POST /V5.0/Lookup/BinderTypes","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_099: Test post /V7/TaxCaddyAPI/CreateDrl","1349","TC_099: POST /V7/TaxCaddyAPI/CreateDrl","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_058: Test post /V5.0/Lookup/GetLocalPathToDownloadFiles","1096","TC_058: POST /V5.0/Lookup/GetLocalPathToDownloadFiles","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_088: Test post /V5.0/TaxCaddyAPI/SendDRL","1204","TC_088: POST /V5.0/TaxCaddyAPI/SendDRL","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_052: Test post /V5.0/Binder/GetDocuments","1182","TC_052: POST /V5.0/Binder/GetDocuments","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_033: Test post /V5.0/Binder/SubmitBinder","1112","TC_033: POST /V5.0/Binder/SubmitBinder","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_073: Test post /V7/Lookup/BinderStatusList","1161","TC_073: POST /V7/Lookup/BinderStatusList","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_111: Test post /V7/RWAPI2.0/LaunchReviewWizard","1221","TC_111: POST /V7/RWAPI2.0/LaunchReviewWizard","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
